campaign_id,campaign_name,campaign_profile,channel,region,device,active_days,total_impressions,total_clicks,total_conversions,total_spend,total_revenue,total_budget,avg_ctr,avg_cvr,avg_cpa,avg_roi,budget_utilization,anomaly_count,ctr_score,cvr_score,roi_score,cpa_score,anomaly_score,performance_score,campaign_health,budget_action,recommendation_reason,ai_recommendation
2,Campaign_2,efficient_low_scale,Search,North,Desktop,90,649259,37684,5783,38219.5,572098.96,47942.2,0.058,0.1535,6.61,13.97,0.7972,6,0.5133020344287951,0.9467408585055642,0.9639759839893263,0.9972425203364125,1.0,87.8,Healthy,Increase 15%,"High ROI, efficient CPA, and strong campaign health.",Campaign_2 is a top performer with strong ROI (13.97) and efficient CPA (6.61). Recommend increasing budget by 15% to scale high-quality returns.
9,Campaign_9,efficient_low_scale,Display,North,Tablet,90,1062459,62512,10006,64088.9,994293.94,80849.73,0.0588,0.1601,6.41,14.51,0.7927,10,0.5258215962441314,0.9992050874403812,1.0,1.0,0.33333333333333337,87.16,Healthy,Increase 15%,"High ROI, efficient CPA, and strong campaign health.",Campaign_9 is a top performer with strong ROI (14.51) and efficient CPA (6.41). Recommend increasing budget by 15% to scale high-quality returns.
10,Campaign_10,efficient_low_scale,Display,South,Mobile,90,1122622,67722,10850,74186.48,1094616.89,91662.21,0.0603,0.1602,6.84,13.75,0.8093,12,0.5492957746478874,1.0,0.9492995330220146,0.994071418723287,0.0,84.35,Healthy,Increase 15%,"High ROI, efficient CPA, and strong campaign health.",Campaign_10 is a top performer with strong ROI (13.75) and efficient CPA (6.84). Recommend increasing budget by 15% to scale high-quality returns.
4,Campaign_4,high_performer,Display,South,Desktop,90,1963723,174058,24495,228271.62,2197546.46,286595.42,0.0886,0.1407,9.32,8.63,0.7965,6,0.9921752738654147,0.8449920508744035,0.6077384923282189,0.9598786708948022,1.0,83.4,Healthy,Increase 15%,"High ROI, efficient CPA, and strong campaign health.",Campaign_4 is a top performer with strong ROI (8.63) and efficient CPA (9.32). Recommend increasing budget by 15% to scale high-quality returns.
7,Campaign_7,high_performer,Video,South,Mobile,90,1224051,109004,15122,147964.26,1355120.92,183124.51,0.0891,0.1387,9.78,8.16,0.808,6,1.0,0.8290937996820348,0.5763842561707806,0.9535364676685509,1.0,82.09,Healthy,Increase 15%,"High ROI, efficient CPA, and strong campaign health.",Campaign_7 is a top performer with strong ROI (8.16) and efficient CPA (9.78). Recommend increasing budget by 15% to scale high-quality returns.
6,Campaign_6,high_performer,Display,East,Desktop,90,1909516,165275,22042,226092.52,1921234.8,282056.64,0.0866,0.1334,10.26,7.5,0.8016,11,0.9608763693270735,0.7869634340222573,0.5323549032688459,0.946918516475941,0.16666666666666663,74.63,Watchlist,Increase 10%,Above-average return and conversion efficiency.,Campaign_6 is performing above account benchmarks with healthy conversion efficiency. Recommend a moderate 10% budget increase.
5,Campaign_5,unstable,Display,West,Tablet,90,1753052,115212,9535,162286.83,717360.92,202347.02,0.0657,0.0828,17.02,3.42,0.802,6,0.6338028169014084,0.38473767885532584,0.2601734489659773,0.8537157038466842,1.0,52.17,Watchlist,Maintain / Monitor,Mixed signals; performance should be monitored before scaling.,"Campaign_5 shows mixed performance signals. Maintain current budget but monitor closely for changes in ROI, CPA, and conversion trends."
1,Campaign_1,unstable,Display,West,Mobile,90,1868800,115025,9512,172769.02,768648.36,215152.85,0.0616,0.0827,18.16,3.45,0.803,7,0.5696400625978091,0.3839427662957074,0.26217478318879256,0.8379980697642355,0.8333333333333334,49.78,Critical,Decrease 10%,Below-benchmark efficiency with limited upside.,Campaign_1 is below desired efficiency thresholds. Recommend a 10% budget reduction while investigating campaign optimization opportunities.
8,Campaign_8,high_spend_low_return,Search,West,Desktop,90,1167328,61001,2097,165538.85,86437.08,203818.87,0.0523,0.0344,78.94,-0.48,0.8122,6,0.4241001564945227,0.0,0.0,0.0,1.0,13.48,Critical,Decrease 20%,Poor return or inefficient acquisition costs.,"Campaign_8 is underperforming, with weak ROI (-0.48) and/or elevated CPA (78.94). Recommend reducing budget by 20% and reviewing targeting or creative strategy."
3,Campaign_3,low_performer,Video,South,Desktop,90,1215744,30641,1146,56270.7,58192.43,70505.55,0.0252,0.0374,49.1,0.03,0.7981,10,0.0,0.023847376788553275,0.03402268178785857,0.41141596580725226,0.33333333333333337,11.51,Critical,Decrease 20%,Poor return or inefficient acquisition costs.,"Campaign_3 is underperforming, with weak ROI (0.03) and/or elevated CPA (49.1). Recommend reducing budget by 20% and reviewing targeting or creative strategy."
