date,campaign_id,campaign_name,campaign_profile,channel,region,device,impressions,clicks,conversions,spend,revenue,budget,ctr_sql,cvr_sql,cpa_sql,roi_sql,budget_utilization,anomaly_flag,rolling_spend_mean_7,rolling_ctr_mean_7,rolling_cvr_mean_7,rolling_roi_mean_7,spend_spike_flag,ctr_drop_flag,cvr_drop_flag,negative_roi_flag,python_anomaly_score,python_anomaly_label
2024-01-01,1,Campaign_1,unstable,Display,West,Mobile,23964,1623,128,1379.49,9234.87,1632.53,0.0677,0.0789,10.78,5.69,0.845,,,,,,0,0,0,0,0,Normal
2024-01-02,1,Campaign_1,unstable,Display,West,Mobile,12769,992,132,695.56,14448.03,872.49,0.0777,0.1331,5.27,19.77,0.7972,,,,,,0,0,0,0,0,Normal
2024-01-03,1,Campaign_1,unstable,Display,West,Mobile,20666,1424,64,1620.82,4201.3,1967.7,0.0689,0.0449,25.33,1.59,0.8237,,1231.9566666666667,0.07143333333333333,0.08563333333333334,9.016666666666667,0,0,1,0,1,Moderate
2024-01-04,1,Campaign_1,unstable,Display,West,Mobile,13267,894,31,1440.52,1610.04,1790.75,0.0674,0.0347,46.47,0.12,0.8044,,1284.0974999999999,0.070425,0.07289999999999999,6.7925,0,0,1,0,1,Moderate
2024-01-05,1,Campaign_1,unstable,Display,West,Mobile,20433,1038,32,1086.1,1819.9,1380.23,0.0508,0.0308,33.94,0.68,0.7869,,1244.498,0.0665,0.06448000000000001,5.57,0,0,1,0,1,Moderate
2024-01-06,1,Campaign_1,unstable,Display,West,Mobile,20226,1875,109,3175.84,6738.36,3906.34,0.0927,0.0581,29.14,1.12,0.813,,1566.3883333333333,0.07086666666666668,0.06341666666666666,4.828333333333334,1,0,0,0,1,Moderate
2024-01-07,1,Campaign_1,unstable,Display,West,Mobile,24990,2183,173,2822.02,18141.84,3617.32,0.0874,0.0792,16.31,5.43,0.7801,,1745.7642857142857,0.07322857142857143,0.06567142857142858,4.914285714285714,0,0,0,0,0,Normal
2024-01-08,1,Campaign_1,unstable,Display,West,Mobile,13016,1261,154,2296.26,11977.88,2862.72,0.0969,0.1221,14.91,4.22,0.8021,,1876.7314285714288,0.07740000000000001,0.07184285714285714,4.704285714285715,0,0,0,0,0,Normal
2024-01-09,1,Campaign_1,unstable,Display,West,Mobile,19208,839,40,606.98,2785.52,727.6,0.0437,0.0477,15.17,3.59,0.8342,,1864.077142857143,0.07254285714285715,0.05964285714285715,2.392857142857143,0,1,0,0,1,Moderate
2024-01-10,1,Campaign_1,unstable,Display,West,Mobile,18736,1440,168,2316.87,17613.3,2925.67,0.0769,0.1167,13.79,6.6,0.7919,,1963.5128571428572,0.07368571428571428,0.06989999999999999,3.108571428571428,0,0,0,0,0,Normal
2024-01-11,1,Campaign_1,unstable,Display,West,Mobile,25067,1164,43,1357.78,2698.8,1741.22,0.0464,0.0369,31.58,0.99,0.7798,,1951.6928571428573,0.07068571428571428,0.07021428571428572,3.2328571428571427,0,1,1,0,2,Moderate
2024-01-12,1,Campaign_1,unstable,Display,West,Mobile,17056,863,118,1703.02,10681.49,1973.79,0.0506,0.1367,14.43,5.27,0.8628,,2039.8242857142857,0.07065714285714285,0.08534285714285714,3.8885714285714283,0,0,0,0,0,Normal
2024-01-13,1,Campaign_1,unstable,Display,West,Mobile,12206,661,21,569.67,886.2,717.27,0.0542,0.0318,27.13,0.56,0.7942,,1667.5142857142857,0.06515714285714286,0.08158571428571429,3.8085714285714283,0,0,1,0,1,Moderate
2024-01-14,1,Campaign_1,unstable,Display,West,Mobile,26820,1071,80,1963.49,4481.27,2197.63,0.0399,0.0747,24.54,1.28,0.8935,,1544.8671428571429,0.058371428571428574,0.08094285714285714,3.2157142857142853,0,1,0,0,1,Moderate
2024-01-15,1,Campaign_1,unstable,Display,West,Mobile,22817,1596,99,1369.75,7123.78,1680.21,0.0699,0.062,13.84,4.2,0.8152,,1412.5085714285713,0.0545142857142857,0.07235714285714287,3.2128571428571426,0,0,0,0,0,Normal
2024-01-16,1,Campaign_1,unstable,Display,West,Mobile,22230,2038,132,1763.03,7386.12,2154.68,0.0917,0.0648,13.36,3.19,0.8182,,1577.6585714285716,0.06137142857142857,0.0748,3.1557142857142857,0,0,0,0,0,Normal
2024-01-17,1,Campaign_1,unstable,Display,West,Mobile,19526,647,57,923.43,5042.82,1077.97,0.0331,0.0881,16.2,4.46,0.8566,,1378.5957142857144,0.05511428571428571,0.07071428571428572,2.8500000000000005,0,1,0,0,1,Moderate
2024-01-18,1,Campaign_1,unstable,Display,West,Mobile,29879,2278,159,4915.18,17072.04,5716.09,0.0762,0.0698,30.91,2.47,0.8599,,1886.7957142857142,0.05937142857142857,0.07541428571428573,3.0614285714285714,1,0,0,0,1,Moderate
2024-01-19,1,Campaign_1,unstable,Display,West,Mobile,29082,1999,170,1553.66,10115.89,2061.81,0.0687,0.085,9.14,5.51,0.7535,,1865.4585714285715,0.06195714285714286,0.06802857142857142,3.095714285714286,0,0,0,0,0,Normal
2024-01-20,1,Campaign_1,unstable,Display,West,Mobile,17791,1142,108,937.9,7114.59,1088.47,0.0642,0.0946,8.68,6.59,0.8617,,1918.0628571428572,0.06338571428571428,0.077,3.9571428571428577,0,0,0,0,0,Normal
2024-01-21,1,Campaign_1,unstable,Display,West,Mobile,19777,1397,124,1167.1,12210.43,1377.41,0.0706,0.0888,9.41,9.46,0.8473,,1804.292857142857,0.06777142857142857,0.07901428571428572,5.125714285714286,0,0,0,0,0,Normal
2024-01-22,1,Campaign_1,unstable,Display,West,Mobile,29043,1338,72,2363.88,6959.89,2926.73,0.0461,0.0538,32.83,1.94,0.8077,,1946.3114285714287,0.06437142857142857,0.07784285714285713,4.802857142857143,0,0,0,0,0,Normal
2024-01-23,1,Campaign_1,unstable,Display,West,Mobile,17759,1090,133,1867.75,12164.86,2221.05,0.0614,0.122,14.04,5.51,0.8409,,1961.2714285714285,0.060042857142857134,0.08601428571428571,5.134285714285714,0,0,0,0,0,Normal
2024-01-24,1,Campaign_1,unstable,Display,West,Mobile,28646,2085,249,3195.89,19191.81,3929.17,0.0728,0.1194,12.83,5.01,0.8134,,2285.9085714285716,0.06571428571428571,0.0904857142857143,5.212857142857142,0,0,0,0,0,Normal
2024-01-25,1,Campaign_1,unstable,Display,West,Mobile,19158,902,61,1613.62,6270.66,2132.84,0.0471,0.0676,26.45,2.89,0.7566,,1814.257142857143,0.061557142857142866,0.09017142857142857,5.272857142857142,0,0,0,0,0,Normal
2024-01-26,1,Campaign_1,unstable,Display,West,Mobile,24874,2359,274,4018.51,22097.57,5001.97,0.0948,0.1162,14.67,4.5,0.8034,,2166.3785714285714,0.06528571428571428,0.09462857142857142,5.128571428571429,1,0,0,0,1,Moderate
2024-01-27,1,Campaign_1,unstable,Display,West,Mobile,14961,491,44,853.28,3768.04,986.45,0.0328,0.0896,19.39,3.42,0.865,,2154.29,0.06080000000000001,0.09391428571428571,4.675714285714285,0,1,0,0,1,Moderate
2024-01-28,1,Campaign_1,unstable,Display,West,Mobile,15987,788,88,1403.75,5417.65,1734.52,0.0493,0.1117,15.95,2.86,0.8093,,2188.097142857143,0.057757142857142854,0.09718571428571429,3.7328571428571427,0,0,0,0,0,Normal
2024-01-29,1,Campaign_1,unstable,Display,West,Mobile,29429,1163,159,1499.86,16288.48,1886.5,0.0395,0.1367,9.43,9.86,0.795,,2064.6657142857143,0.05681428571428571,0.10902857142857143,4.864285714285714,0,1,0,0,1,Moderate
2024-01-30,1,Campaign_1,unstable,Display,West,Mobile,19022,1129,58,2013.77,3459.94,2227.39,0.0594,0.0514,34.72,0.72,0.9041,,2085.5257142857145,0.056528571428571435,0.09894285714285714,4.180000000000001,0,0,1,0,1,Moderate
2024-01-31,1,Campaign_1,unstable,Display,West,Mobile,22716,962,122,1752.36,13019.23,2072.49,0.0423,0.1268,14.36,6.43,0.8455,,1879.3071428571427,0.05217142857142857,0.09999999999999999,4.382857142857143,0,0,0,0,0,Normal
2024-02-01,1,Campaign_1,unstable,Display,West,Mobile,12699,1120,69,1430.96,6870.99,1687.43,0.0882,0.0616,20.74,3.8,0.848,,1853.212857142857,0.05804285714285714,0.09914285714285713,4.5128571428571425,0,0,1,0,1,Moderate
2024-02-02,1,Campaign_1,unstable,Display,West,Mobile,12569,1186,44,1201.87,3827.12,1429.82,0.0944,0.0371,27.32,2.18,0.8406,,1450.8357142857142,0.057985714285714286,0.08784285714285714,4.1814285714285715,0,0,1,0,1,Moderate
2024-02-03,1,Campaign_1,unstable,Display,West,Mobile,24249,1922,205,3370.66,13358.7,4085.32,0.0793,0.1067,16.44,2.96,0.8251,,1810.4614285714285,0.06462857142857142,0.09028571428571429,4.115714285714286,1,0,0,0,1,Moderate
2024-02-04,1,Campaign_1,unstable,Display,West,Mobile,22647,2107,181,3059.94,17354.4,3863.15,0.093,0.0859,16.91,4.67,0.7921,,2047.06,0.07087142857142857,0.0866,4.374285714285714,0,0,0,0,0,Normal
2024-02-05,1,Campaign_1,unstable,Display,West,Mobile,25403,1684,131,2876.34,8249.16,3502.77,0.0663,0.0778,21.96,1.87,0.8212,,2243.7,0.07469999999999999,0.07818571428571429,3.2328571428571427,0,0,0,0,0,Normal
2024-02-06,1,Campaign_1,unstable,Display,West,Mobile,21907,506,32,761.85,2011.7,995.71,0.0231,0.0632,23.81,1.64,0.7651,,2064.8542857142857,0.06951428571428571,0.07987142857142858,3.3642857142857143,0,1,0,0,1,Moderate
2024-02-07,1,Campaign_1,unstable,Display,West,Mobile,12876,457,34,799.42,1689.28,953.64,0.0355,0.0744,23.51,1.11,0.8383,,1928.72,0.06854285714285714,0.07238571428571429,2.6042857142857145,0,1,0,0,1,Moderate
2024-02-08,1,Campaign_1,unstable,Display,West,Mobile,20311,846,66,691.76,2757.12,927.42,0.0417,0.078,10.48,2.99,0.7459,,1823.1200000000001,0.0619,0.07472857142857144,2.488571428571429,0,1,0,0,1,Moderate
2024-02-09,1,Campaign_1,unstable,Display,West,Mobile,21204,522,68,711.76,3861.39,880.39,0.0246,0.1303,10.47,4.43,0.8085,,1753.1042857142859,0.05192857142857143,0.08804285714285713,2.81,0,1,0,0,1,Moderate
2024-02-10,1,Campaign_1,unstable,Display,West,Mobile,25184,2427,269,3717.03,22278.7,4478.65,0.0964,0.1108,13.82,4.99,0.8299,,1802.5857142857142,0.05437142857142857,0.08862857142857142,3.1,1,0,0,0,1,Moderate
2024-02-11,1,Campaign_1,unstable,Display,West,Mobile,25284,748,50,626.6,2329.55,738.04,0.0296,0.0668,12.53,2.72,0.849,,1454.9657142857143,0.04531428571428571,0.08589999999999999,2.821428571428572,0,1,0,0,1,Moderate
2024-02-12,1,Campaign_1,unstable,Display,West,Mobile,23151,644,54,908.17,2814.7,1097.49,0.0278,0.0839,16.82,2.1,0.8275,,1173.7985714285714,0.03981428571428571,0.08677142857142858,2.8542857142857145,0,1,0,0,1,Moderate
2024-02-13,1,Campaign_1,unstable,Display,West,Mobile,14849,606,19,1272.69,1426.38,1571.57,0.0408,0.0314,66.98,0.12,0.8098,,1246.7757142857142,0.04234285714285714,0.08222857142857143,2.6371428571428575,0,0,1,0,1,Moderate
2024-02-14,1,Campaign_1,unstable,Display,West,Mobile,17878,1708,214,2826.07,20558.22,3587.11,0.0955,0.1253,13.21,6.27,0.7878,,1536.297142857143,0.050914285714285724,0.0895,3.3742857142857146,1,0,0,0,1,Moderate
2024-02-15,1,Campaign_1,unstable,Display,West,Mobile,17052,1085,144,1387.88,15448.8,1840.8,0.0636,0.1327,9.64,10.13,0.754,,1635.7428571428572,0.05404285714285715,0.09731428571428571,4.394285714285714,0,0,0,0,0,Normal
2024-02-16,1,Campaign_1,unstable,Display,West,Mobile,17726,889,30,1446.74,1906.76,1828.58,0.0502,0.0337,48.22,0.32,0.7912,,1740.74,0.057699999999999994,0.08351428571428572,3.807142857142857,0,0,1,0,1,Moderate
2024-02-17,1,Campaign_1,unstable,Display,West,Mobile,23261,1980,120,1736.95,10652.59,2183.76,0.0851,0.0606,14.47,5.13,0.7954,,1457.8714285714289,0.05608571428571429,0.07634285714285714,3.8271428571428574,0,0,0,0,0,Normal
2024-02-18,1,Campaign_1,unstable,Display,West,Mobile,23657,1274,117,1992.39,10672.2,2323.34,0.0539,0.0918,17.03,4.36,0.8576,,1652.984285714286,0.05955714285714286,0.07991428571428572,4.061428571428571,0,0,0,0,0,Normal
2024-02-19,1,Campaign_1,unstable,Display,West,Mobile,19357,1257,70,2161.75,6425.55,2506.68,0.0649,0.0557,30.88,1.97,0.8624,,1832.067142857143,0.06485714285714286,0.07588571428571429,4.042857142857143,0,0,0,0,0,Normal
2024-02-20,1,Campaign_1,unstable,Display,West,Mobile,20787,1790,116,3657.48,7800.32,4033.14,0.0861,0.0648,31.53,1.13,0.9069,,2172.7514285714287,0.07132857142857142,0.08065714285714286,4.187142857142858,0,0,0,0,0,Normal
2024-02-21,1,Campaign_1,unstable,Display,West,Mobile,14502,1400,146,1993.29,10878.72,2333.12,0.0965,0.1043,13.65,4.46,0.8543,,2053.782857142857,0.07147142857142856,0.07765714285714287,3.9285714285714284,0,0,0,0,0,Normal
2024-02-22,1,Campaign_1,unstable,Display,West,Mobile,23130,856,114,1602.38,5465.45,2135.54,0.037,0.1332,14.06,2.41,0.7503,,2084.425714285714,0.06767142857142856,0.07772857142857144,2.825714285714285,0,1,0,0,1,Moderate
2024-02-23,1,Campaign_1,unstable,Display,West,Mobile,16729,925,118,1134.39,5686.97,1331.37,0.0553,0.1276,9.61,4.01,0.852,,2039.804285714286,0.0684,0.09114285714285715,3.352857142857143,0,0,0,0,0,Normal
2024-02-24,1,Campaign_1,unstable,Display,West,Mobile,23516,2047,157,2116.32,10639.2,2799.84,0.087,0.0767,13.48,4.03,0.7559,,2094.0,0.06867142857142858,0.09344285714285715,3.1957142857142853,0,0,0,0,0,Normal
2024-02-25,1,Campaign_1,unstable,Display,West,Mobile,25807,2298,291,2424.45,30129.72,3025.65,0.089,0.1266,8.33,11.43,0.8013,,2155.7228571428573,0.07368571428571428,0.09841428571428572,4.2057142857142855,0,0,0,0,0,Normal
2024-02-26,1,Campaign_1,unstable,Display,West,Mobile,13810,1134,103,1515.4,10654.82,1709.07,0.0821,0.0908,14.71,6.03,0.8867,,2063.387142857143,0.07614285714285714,0.10342857142857143,4.785714285714286,0,0,0,0,0,Normal
2024-02-27,1,Campaign_1,unstable,Display,West,Mobile,21435,1408,157,2605.92,15322.47,3351.35,0.0657,0.1115,16.6,4.88,0.7776,,1913.1642857142858,0.07322857142857143,0.1101,5.321428571428571,0,0,0,0,0,Normal
2024-02-28,1,Campaign_1,unstable,Display,West,Mobile,12504,625,38,3467.36,2114.76,3670.66,0.05,0.0608,91.25,-0.39,0.9446,Spend Spike,2123.7457142857143,0.06658571428571428,0.10388571428571429,4.628571428571428,0,0,1,1,2,Moderate
2024-02-29,1,Campaign_1,unstable,Display,West,Mobile,23003,595,54,1281.6,4137.31,1611.42,0.0259,0.0908,23.73,2.23,0.7953,,2077.92,0.065,0.09782857142857142,4.602857142857142,0,1,0,0,1,Moderate
